List of ingredients,Recipe Name,Time Required (minutes),Style,Recipe (How to Make),Protein (g),Carbohydrates (g),Fats (g),Sides
"Potato, Onion, Tomatoes, Oil, Salt, Chili Powder",Potato Tomatoes Curry,30,North Indian,"Heat oil in a pan and saute chopped onions until golden brown. Add chopped tomatoes and cook until soft. Add diced potatoes, salt, and chili powder, then mix well. Pour some water, cover, and simmer until the potatoes are tender. Stir occasionally and cook until the curry thickens. Serve hot with rice or chapati.",26.6,47,11,Vanilla Ice Cream
"Potato, Onion, Tomatoes, Oil, Salt, Chili Powder",Potato Onion Tomatoes Stir-fry,25,South Indian,"Heat oil in a pan and add sliced onions. Saute until translucent, then add chopped tomatoes and cook until soft. Add thinly sliced potatoes, salt, and chili powder. Stir-fry on medium heat until the potatoes turn golden and crispy. Serve as a side dish with rice or roti.",23.9,52,16,Fresh Orange Juice
"Potato, Onion, Tomatoes, Oil, Salt, Chili Powder",Tomatoes Potato Gravy Curry,35,Bengali,"Heat oil in a pan, saute chopped onions until golden brown, then add tomatoes and cook until mushy. Add diced potatoes, salt, and chili powder, and cook for a few minutes. Pour enough water to form a gravy, cover, and simmer until potatoes are soft. Garnish with fresh coriander and serve with rice or roti.",12.2,46,11,Sweet Lassi
"Potato, Onion, Tomatoes, Oil, Salt, Chili Powder",Tomatoes-Onion-Potato Masala Curry,20,Punjabi,"Heat oil in a pan, add chopped onions, and saute until golden. Add chopped tomatoes and cook until soft. Stir in diced potatoes, salt, chili powder, and some garam masala. Cook on low heat until the potatoes absorb the masala flavors. Add water for a slight gravy or keep it dry as per preference. Serve hot.",2.3,46,9,Gulab Jamun
"Potato, Onion, Tomatoes, Oil, Salt, Chili Powder",Potato Tomatoes Spicy Fry,30,South Indian,"Heat oil in a pan, add sliced onions and saute until soft. Add chopped tomatoes and cook until mushy. Stir in diced potatoes, salt, and chili powder. Fry on medium heat, stirring occasionally, until the potatoes are crispy. Serve as a side dish.",9.1,53,17,Vanilla Ice Cream
"Chicken, Onion, Tomatoes, Ginger, Garlic, Spices",Chicken Curry,60,North Indian,"Heat oil in a pan, add chopped onions, and saute until golden. Add ginger-garlic paste and cook until fragrant. Stir in chopped tomatoes and cook until soft. Add chicken pieces and mix well. Sprinkle salt, chili powder, and spices. Cook on medium heat until the chicken releases juices. Pour water for gravy, cover, and simmer until the chicken is fully cooked. Garnish with fresh coriander and serve hot.",22.3,33,11,Vanilla Ice Cream
"Chicken, Onion, Tomatoes, Ginger, Garlic, Spices",Chicken Tomatoes Gravy,55,Hyderabadi,"Heat oil, add onions, and saute until golden. Add ginger-garlic paste and cook until the raw smell disappears. Stir in chopped tomatoes and cook until they form a thick paste. Add chicken, salt, and spices, mix well, and cook for a few minutes. Pour water to adjust the consistency and simmer until the chicken is tender. Serve with rice or chapati.",24.6,20,4,Kheer
"Chicken, Onion, Tomatoes, Ginger, Garlic, Spices",Spicy Chicken Masala,50,Mughlai,"Heat oil, saute onions until golden, then add ginger-garlic paste and cook well. Add chopped tomatoes and cook until soft. Add chicken, salt, chili powder, and spices. Stir well and cook on low heat until the chicken absorbs the flavors. Fry for a few minutes to enhance the taste. Serve hot with naan or rice.",20.1,36,11,Sweet Lassi
"Eggplant, Tomatoes, Onion, Garlic, Spices",Baingan Bharta,40,Punjabi,"Roast the eggplant over an open flame until the skin is charred and the inside is soft. Let it cool, then peel and mash it. Heat oil in a pan, saute chopped onions, garlic, and tomatoes until soft. Add spices and mix well. Stir in the mashed eggplant and cook for a few minutes until well blended. Garnish with fresh coriander and serve hot with roti.",23.9,16,3,Milkshake
"Eggplant, Tomatoes, Onion, Garlic, Spices",Eggplant Masala Fry,30,South Indian,"Slice the eggplant into thin rounds. Heat oil in a pan, add chopped onions and saute until golden. Add garlic and cook until fragrant. Stir in chopped tomatoes and cook until soft. Add eggplant slices, salt, and spices, and fry on medium heat until crispy and golden. Serve hot as a side dish.",15.5,34,16,Gulab Jamun
