Recipe Name,Making Process
Potato Tomatoes Curry,"Peel and chop 1 kg of potatoes into medium-sized cubes and keep them in water to prevent browning.
Finely chop 1 kg of onions and 1 kg of tomatoes, or blend the tomatoes into a puree for a smoother consistency.
Heat 200 ml of oil in a large pan on medium heat.
Add the chopped onions to the hot oil and Saute until they turn golden brown.
Once the onions are well cooked, add 2 tablespoons of chili powder and mix well, allowing the spices to blend.
Add the chopped or pureed tomatoes and stir well to combine with the onions.
Cook the mixture for a few minutes until the tomatoes turn soft and the oil starts separating from the masala.
Add the cubed potatoes to the pan and mix thoroughly, ensuring they are well coated with the onion-tomato mixture.
Sprinkle 2 tablespoons of salt over the potatoes and stir everything together.
Cover the pan with a lid and cook the potatoes on low heat for about 5 minutes.
After 5 minutes, add 500 ml of water and mix well to create a curry consistency.
Increase the flame to medium-high and bring the curry to a boil.
Once it starts boiling, reduce the heat to medium and let the curry simmer.
Stir occasionally to prevent sticking and to ensure even cooking.
Allow the potatoes to absorb the flavors and cook until they turn soft.
If the curry appears too thick, add a little more water to adjust the consistency.
Taste and adjust the salt or chili powder as per your preference.
Simmer for another 2-3 minutes, allowing all the flavors to blend well.
Once the potatoes are fully cooked and the curry reaches the desired consistency, turn off the heat.
Let the curry rest for a couple of minutes before serving.
Serve hot with steamed rice, roti, or chapati for a delicious meal."
Potato Onion Tomatoes Stir-fry,"Peel and chop 1 kg of potatoes into thin slices or small cubes and keep them in water to avoid discoloration.
Finely chop 1 kg of onions and 1 kg of tomatoes, keeping them ready for cooking.
Heat 200 ml of oil in a large pan or wok over medium heat.
Add the chopped onions to the hot oil and Saute until they turn soft and slightly golden brown.
Once the onions are well-cooked, add 2 tablespoons of chili powder and mix thoroughly.
Add the chopped potatoes and stir well, ensuring they are evenly coated with the onions and spices.
Cover the pan with a lid and cook on low heat for about 5 minutes, allowing the potatoes to soften.
Stir occasionally to prevent sticking and ensure even cooking.
Once the potatoes are partially cooked, add the chopped tomatoes and mix well.
Sprinkle 2 tablespoons of salt over the mixture and stir to combine all the ingredients.
Increase the heat to medium and continue cooking without a lid, allowing excess moisture to evaporate.
Stir occasionally to prevent burning and ensure uniform frying of the potatoes and tomatoes.
Let the mixture cook for another 10-15 minutes, stirring every few minutes.
As the tomatoes break down, they will form a slightly thick coating around the potatoes and onions.
Check if the potatoes are fully cooked by piercing them with a fork. If they are soft, proceed to the next step.
Continue frying for a few more minutes until the mixture turns slightly crispy and golden brown.
Adjust the salt or chili powder if needed, based on taste preference.
Stir well to ensure all the spices and flavors are evenly distributed.
Turn off the heat once the potatoes are fully cooked and have a slightly crisp texture.
Let the stir-fry rest for a minute before serving.
Serve hot as a side dish with chapati, roti, or steamed rice for a flavorful meal."
Tomatoes Potato Gravy Curry,"Peel and chop 1 kg of potatoes into medium-sized cubes and keep them in water to prevent browning.
Finely chop 1 kg of onions and 1 kg of tomatoes, or blend the tomatoes into a smooth puree for a richer gravy.
Heat 200 ml of oil in a large pan or kadhai over medium heat.
Add the chopped onions to the hot oil and Saute until they turn golden brown.
Once the onions are well-cooked, add 2 tablespoons of chili powder and mix well.
Add the chopped or pureed tomatoes and stir to combine with the onions.
Cook the mixture for a few minutes until the tomatoes soften and the oil starts separating from the masala.
Add the cubed potatoes to the pan and mix thoroughly, ensuring they are well coated with the onion-tomato mixture.
Sprinkle 2 tablespoons of salt over the potatoes and stir well.
Cover the pan with a lid and cook on low heat for about 5 minutes.
After 5 minutes, add 750 ml of water and mix well to create the gravy consistency.
Increase the flame to medium-high and bring the curry to a boil.
Once it starts boiling, reduce the heat to medium and let the curry simmer.
Stir occasionally to prevent sticking and to ensure even cooking.
Allow the potatoes to absorb the flavors and cook until they turn soft.
If the gravy appears too thick, add more water to adjust the consistency as needed.
Taste and adjust the salt or chili powder according to preference.
Simmer for another 5 minutes, allowing all the flavors to blend well into the gravy.
Once the potatoes are fully cooked and the gravy reaches the desired thickness, turn off the heat.
Let the curry rest for a couple of minutes before serving.
Serve hot with steamed rice, chapati, or roti for a delicious meal."
Tomatoes-Onion-Potato Masala Curry,"Peel 1 kg of potatoes, chop them into medium-sized cubes, and keep them in water to prevent browning. Meanwhile, finely chop 1 kg of onions and 1 kg of tomatoes or blend the tomatoes into a smooth puree.
Heat 200 ml of oil in a large pan over medium heat and add the chopped onions. Saute them, stirring occasionally, until they turn soft and golden brown.
Sprinkle 2 tablespoons of chili powder over the onions and mix well to evenly coat them with the spice.
Add the chopped or pureed tomatoes to the pan, stir well, and cook until the tomatoes become mushy and the oil starts separating from the masala.
Drain the chopped potatoes and add them to the pan, mixing thoroughly to coat them with the onion-tomato masala.
Add 2 tablespoons of salt and stir everything together to evenly distribute the flavors.
Cover the pan with a lid and let the potatoes cook on low heat, stirring occasionally to prevent burning.
Pour 750 ml of water into the pan, stir well, and bring the curry to a boil over medium-high heat.
Once it starts boiling, reduce the heat to low and let the curry simmer, stirring occasionally to avoid sticking.
Check if the potatoes are fully cooked by piercing them with a fork; if they are still hard, let them cook for a few more minutes.
If the curry is too thick, add more water to adjust the consistency and mix well.
Let the curry simmer for another few minutes to allow all the flavors to blend.
Turn off the flame and let the curry rest for a couple of minutes before serving.
Garnish with freshly chopped coriander leaves if desired and serve hot with steamed rice, roti, or chapati."
Potato Tomatoes Spicy Fry,"Peel 1 kg of potatoes and chop them into small cubes, keeping them in water to prevent browning.
Finely chop 1 kg of onions and 1 kg of tomatoes, keeping them ready for cooking.
Heat 200 ml of oil in a large pan or kadhai over medium heat.
Add the chopped onions to the hot oil and Saute them until they turn soft and golden brown.
Stir occasionally to ensure even cooking and prevent burning.
Once the onions are golden, add 2 tablespoons of chili powder and mix well.
Stir for a few seconds to allow the chili powder to blend with the onions.
Add the chopped tomatoes and stir well to combine.
Cook the tomatoes until they become soft and the oil starts to separate from the mixture.
Keep stirring occasionally to avoid sticking to the pan.
Add the drained potato cubes to the pan and mix well with the onion-tomato mixture.
Stir continuously for a couple of minutes so the potatoes absorb the flavors.
Sprinkle 2 tablespoons of salt over the mixture and stir to combine.
Cook uncovered on medium heat for about 5 minutes, stirring occasionally.
Reduce the heat to low and cover the pan with a lid.
Let the potatoes cook in their own moisture, stirring occasionally to prevent burning.
Cook for another 10 minutes until the potatoes turn soft but still hold their shape.
Remove the lid and check if the potatoes are cooked through by pressing a piece with a spoon.
If needed, continue cooking uncovered for a few more minutes to remove excess moisture.
Stir frequently to ensure even cooking and crispiness.
Increase the heat slightly to allow the potatoes to develop a light crispy texture.
Stir-fry for another 5 minutes until the potatoes are golden brown.
Taste and adjust salt or chili powder if required.
Mix well to ensure the spices are evenly distributed.
Let the stir-fry cook for another 2 minutes for the flavors to blend well.
Turn off the heat and let the dish rest for a minute.
Garnish with freshly chopped coriander leaves if desired.
Transfer the spicy potato-tomato fry to a serving plate.
Serve hot as a side dish with rice, roti, or chapati.
Enjoy the crispy, spicy, and flavorful potato-tomato fry."
Chicken Curry,"Wash 1 kg of chicken pieces thoroughly and set them aside.
Finely chop 1 kg of onions and 1 kg of tomatoes.
Peel and crush a handful of ginger and garlic into a smooth paste.
Heat 200 ml of oil in a large pan or kadhai over medium heat.
Add the chopped onions and Saute them until they turn golden brown, stirring occasionally.
Add the ginger-garlic paste and Saute until the raw smell disappears.
Stir continuously to ensure the paste doesn't stick to the bottom.
Add 2 tablespoons of chili powder, 1 tablespoon of turmeric, 1 tablespoon of garam masala, and 1 tablespoon of coriander powder.
Mix well and cook the spices for a minute to release their aroma.
Add the chopped tomatoes and mix well with the spices and onions.
Cook until the tomatoes become soft and the oil starts to separate from the masala.
Stir occasionally to prevent sticking.
Add the cleaned chicken pieces to the pan and mix well to coat them with the masala.
Cook on medium heat for 5 minutes, stirring occasionally.
Reduce the heat and cover the pan with a lid to allow the chicken to release its juices.
Let it cook for another 10 minutes, stirring occasionally.
Add 750 ml of water to adjust the consistency of the curry.
Stir well and bring the curry to a boil.
Lower the heat and let the curry simmer for 20 minutes.
Stir occasionally to ensure even cooking.
Check if the chicken is tender by piercing it with a fork.
If needed, cook for a few more minutes until the chicken is fully cooked.
Taste and adjust salt or spice levels if required.
Simmer for another 5 minutes to blend all flavors.
Turn off the heat and let the curry rest for a couple of minutes.
Garnish with freshly chopped coriander leaves.
Serve hot with steamed rice, roti, or naan.
Wash 1 kg of chicken pieces thoroughly and set them aside.
Finely chop 1 kg of onions and 1 kg of tomatoes.
Peel and crush a handful of ginger and garlic into a smooth paste.
Heat 200 ml of oil in a large pan or kadhai over medium heat.
Add the chopped onions and Saute them until they turn golden brown, stirring occasionally.
Add the ginger-garlic paste and Saute until the raw smell disappears.
Stir continuously to ensure the paste doesn't stick to the bottom.
Add 2 tablespoons of chili powder, 1 tablespoon of turmeric, 1 tablespoon of garam masala, and 1 tablespoon of coriander powder.
Mix well and cook the spices for a minute to release their aroma.
Add the chopped tomatoes and mix well with the spices and onions.
Cook until the tomatoes become soft and the oil starts to separate from the masala.
Stir occasionally to prevent sticking.
Add the cleaned chicken pieces to the pan and mix well to coat them with the masala.
Cook on medium heat for 5 minutes, stirring occasionally.
Reduce the heat and cover the pan with a lid to allow the chicken to release its juices.
Let it cook for another 10 minutes, stirring occasionally.
Add 750 ml of water to adjust the consistency of the curry.
Stir well and bring the curry to a boil.
Lower the heat and let the curry simmer for 20 minutes.
Stir occasionally to ensure even cooking.
Check if the chicken is tender by piercing it with a fork.
If needed, cook for a few more minutes until the chicken is fully cooked.
Taste and adjust salt or spice levels if required.
Simmer for another 5 minutes to blend all flavors.
Turn off the heat and let the curry rest for a couple of minutes.
Garnish with freshly chopped coriander leaves.
Serve hot with steamed rice, roti, or naan.
"
Chicken Tomatoes Gravy,"Wash 1 kg of chicken pieces thoroughly and keep them aside.
Finely chop 1 kg of onions and 1 kg of tomatoes.
Crush a handful of ginger and garlic into a smooth paste.
Heat 200 ml of oil in a large pan over medium heat.
Add the chopped onions and Saute until they turn golden brown.
Add the ginger-garlic paste and stir well until the raw smell disappears.
Add 2 tablespoons of chili powder, 1 tablespoon of turmeric, 1 tablespoon of garam masala, and 1 tablespoon of coriander powder.
Stir the spices well and cook for a minute until their aroma is released.
Add the chopped tomatoes and mix well with the onion-spice mixture.
Cook until the tomatoes turn mushy and oil starts separating from the masala.
Stir occasionally to ensure even cooking.
Add the cleaned chicken pieces and mix well to coat them with the masala.
Cook on medium heat for 5 minutes while stirring occasionally.
Cover the pan and let the chicken cook in its own juices for 10 minutes.
Stir occasionally to prevent burning.
Add 750 ml of water to the pan and mix well.
Increase the heat to bring the gravy to a boil.
Reduce the heat to low and let the curry simmer for 20 minutes.
Stir occasionally to ensure even cooking.
Check if the chicken is tender by piercing it with a fork.
If needed, let it cook for a few more minutes.
Taste and adjust salt or spices as required.
If the gravy is too thick, add a little water and mix well.
Let it simmer for another 5 minutes to blend the flavors.
Turn off the heat and let the curry rest for a couple of minutes.
Garnish with freshly chopped coriander leaves.
Serve hot with steamed rice, roti, or naan."
Spicy Chicken Masala,"Wash 1 kg of chicken thoroughly and set it aside.
Finely chop 1 kg of onions and 1 kg of tomatoes.
Crush a handful of ginger and garlic into a smooth paste.
Heat 200 ml of oil in a large pan over medium heat.
Add the chopped onions and Saute them until they turn golden brown, stirring occasionally.
Add the ginger-garlic paste and mix well until the raw smell disappears.
Add 2 tablespoons of chili powder, 1 tablespoon of turmeric, 1 tablespoon of garam masala, and 1 tablespoon of coriander powder.
Stir the spices well and cook for a minute until the oil separates from the masala.
Add the chopped tomatoes and mix well with the onion-spice mixture.
Cook until the tomatoes turn soft and blend completely into the masala.
Stir occasionally to avoid sticking to the pan.
Add the cleaned chicken pieces and mix well to coat them evenly with the masala.
Cook on medium heat for 5 minutes, stirring occasionally.
Cover the pan and let the chicken cook in its own juices for 10 minutes.
Stir occasionally to prevent burning.
Uncover the pan and increase the heat to medium-high to slightly roast the chicken.
Stir-fry for 5 minutes until the chicken gets a nice sear.
Reduce the heat and add 250 ml of water to create a thick masala consistency.
Mix well and cover the pan again.
Let the chicken cook for another 10 minutes, allowing the flavors to blend.
Stir occasionally to prevent burning.
Taste and adjust salt or spice levels as required.
Let the masala thicken until it coats the chicken well.
Cook uncovered on low heat for another 5 minutes for a richer taste.
Stir continuously to enhance the texture.
Turn off the heat and let the chicken masala rest for a few minutes.
Garnish with freshly chopped coriander leaves for added flavor.
Serve hot with roti, naan, or steamed rice for a spicy and flavorful meal."
Baingan Bharta,"Take 1 kg of eggplants and wash them thoroughly.
Roast the whole eggplants over an open flame or in an oven until the skin is charred and the flesh becomes soft.
Once roasted, let them cool for a few minutes.
Peel off the charred skin and mash the soft eggplant flesh using a fork or spoon.
Finely chop 1 kg of onions and 1 kg of tomatoes.
Crush a handful of garlic cloves into a smooth paste.
Heat 200 ml of oil in a large pan over medium heat.
Add the chopped onions and Saute them until they turn golden brown, stirring occasionally.
Add the crushed garlic paste and mix well until the raw smell disappears.
Stir in 2 tablespoons of chili powder, 1 tablespoon of turmeric, 1 tablespoon of garam masala, and 1 tablespoon of coriander powder.
Mix the spices well and cook for a minute until the oil separates from the mixture.
Add the chopped tomatoes and mix well with the onions and spices.
Cook until the tomatoes turn soft and blend completely into the masala.
Stir occasionally to prevent sticking to the pan.
Add the mashed eggplant to the pan and mix thoroughly with the masala.
Stir well to evenly distribute the flavors.
Cook uncovered on medium heat for about 5 minutes.
Stir occasionally to ensure even cooking.
Reduce the heat to low and let the mixture simmer for another 5 minutes.
Stir occasionally to prevent burning at the bottom.
Taste and adjust salt or spice levels if required.
Let the bharta cook for another few minutes to enhance the flavors.
Stir continuously to give the dish a smooth and uniform texture.
Turn off the heat and let the baingan bharta rest for a couple of minutes.
Garnish with freshly chopped coriander leaves for added aroma.
Serve hot with roti, naan, or steamed rice for a smoky and flavorful meal."
Eggplant Masala Fry,"Wash 1 kg of eggplants thoroughly and cut them into thin slices or small cubes.
Finely chop 1 kg of onions and 1 kg of tomatoes.
Crush a handful of garlic cloves into a smooth paste.
Heat 200 ml of oil in a large pan over medium heat.
Add the chopped onions and Saute them until they turn golden brown, stirring occasionally.
Add the crushed garlic paste and mix well until the raw smell disappears.
Stir in 2 tablespoons of chili powder, 1 tablespoon of turmeric, 1 tablespoon of garam masala, and 1 tablespoon of coriander powder.
Mix the spices well and cook for a minute until the oil separates from the mixture.
Add the chopped tomatoes and mix well with the onions and spices.
Cook until the tomatoes turn soft and blend completely into the masala.
Stir occasionally to prevent sticking to the pan.
Add the chopped eggplant slices or cubes to the pan and mix thoroughly with the masala.
Stir well to coat the eggplants evenly with the spice mixture.
Cook uncovered on medium heat for about 5 minutes, stirring occasionally.
Reduce the heat to low and cover the pan with a lid.
Let the eggplants cook in their own moisture for another 10 minutes, stirring occasionally.
Remove the lid and check if the eggplants have softened completely.
If needed, cook uncovered for a few more minutes to remove excess moisture.
Stir continuously to give the dish a crispy texture.
Increase the heat slightly and allow the eggplants to develop a golden-brown color.
Stir-fry for another 5 minutes until the eggplants are well roasted.
Taste and adjust salt or spice levels if required.
Let the masala fry cook for another few minutes for the flavors to blend well.
Turn off the heat and let the dish rest for a couple of minutes.
Garnish with freshly chopped coriander leaves for added aroma.
Serve hot as a side dish with roti, naan, or steamed rice."
